Date,Team
2009-03-16,B
2009-03-19,B
2009-03-20,B
2009-03-23,B
2009-03-24,B
2009-03-25,B
2009-03-30,B
2009-10-12,A
2009-10-12,B
2009-10-12,C
2009-10-13,A
2009-10-13,B
2009-10-13,C
2009-10-15,A
2009-10-15,B
2009-10-15,C
2009-10-20,A
2009-10-20,B
2009-10-20,C
2009-10-21,A
2009-10-21,B
2009-10-21,C
2009-10-22,A
2009-10-22,B
2009-10-22,C
2009-10-23,A
2009-10-23,B
2009-10-23,C
2009-10-26,A
2009-10-26,B
2009-10-26,C
2009-10-27,A
2009-10-27,B
2009-10-27,C
2009-10-28,A
2009-10-28,B
2009-10-28,C
2009-10-29,A
2009-10-29,B
2009-10-29,C
2009-11-02,A
2009-11-02,B
2009-11-03,A
2009-11-03,B
2009-11-05,A
2009-11-05,B
2009-11-06,A
2009-11-06,B
2009-11-07,A
2009-11-07,B
2009-11-09,A
2009-11-09,B
2009-11-09,C
2009-11-10,A
2009-11-10,B
2009-11-10,C
2009-11-12,B
2009-11-12,C
2009-11-13,B
2009-11-13,C
2009-11-14,A
2009-11-14,C
2010-03-08,C
2010-03-17,C
2010-03-18,C
2010-03-19,B
2010-03-19,C
2010-03-20,B
2010-03-20,C
2010-03-21,C
2010-03-22,B
2010-03-22,C
2010-03-22,D
2010-03-23,B
2010-03-24,B
2010-03-24,C
2010-03-25,B
2010-03-25,C
2010-03-26,B
2010-03-26,C
2010-03-26,D
2010-03-27,B
2010-03-27,C
2010-03-28,B
2010-03-28,C
2010-03-28,D
2010-03-29,B
2010-03-29,D
2010-03-30,B
2010-03-30,C
2010-03-31,C
2010-03-31,D
2010-04-01,B
2010-04-01,C
2010-04-01,D
2010-04-02,C
2010-04-06,B
2010-04-07,A
2010-04-07,B
2010-04-07,C
2010-04-08,B
2010-04-09,C
2010-04-10,B
2010-04-15,C
2010-10-22,A
2010-10-23,A
2010-10-24,A
2010-11-02,A
2010-11-02,B
2010-11-03,A
2010-11-03,B
2010-11-04,B
2010-11-05,B
2010-11-11,B
2010-11-12,B
2010-11-14,B
2010-11-15,B
2011-10-11,D
2011-10-14,D
2011-10-15,D
2011-10-16,A
2011-10-16,D
2011-10-19,A
2011-10-19,D
2011-10-20,A
2011-10-20,D
2011-10-21,A
2011-10-22,A
2011-10-22,D
2011-10-23,A
2011-10-23,D
2011-10-24,A
2011-10-25,A
2011-10-25,D
2011-10-26,A
2011-10-26,D
2011-10-27,A
2011-10-27,D
2011-10-28,A
2011-10-28,D
2011-10-29,A
2011-10-30,A
2011-10-31,A
2011-11-01,A
2011-11-01,D
2011-11-02,A
2011-11-02,C
2011-11-02,D
2011-11-03,A
2011-11-03,B
2011-11-03,C
2011-11-05,B
2011-11-05,C
2011-11-06,B
2011-11-06,C
2011-11-07,B
2011-11-07,C
2011-11-08,B
2011-11-08,C
2011-11-09,B
2011-11-09,C
2011-11-10,B
2011-11-12,B
2011-11-13,C
2011-11-15,B
2011-11-15,C
2011-11-16,C
2011-11-17,B
2011-11-17,C
2011-11-18,B
2011-11-18,C
2011-11-20,B
2011-11-20,C
2011-11-21,C
2011-11-22,B
2011-11-22,C
2011-11-23,C
2011-11-24,C
2011-11-29,B
