Date,Team,Start Unit,End Unit,Source,Extraction_Note
2009-03-06,A,10000,10000,Team A Bulgarian Diary (2009),Found 1 units in section
2009-03-06,B,20025,20097,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-07,B,20098,20138,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-08,A,10104,10111,Team A Bulgarian Diary (2009),Found 8 units in section
2009-03-08,B,20139,20230,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-09,A,10197,10197,Team A Bulgarian Diary (2009),Found 1 units in section
2009-03-09,B,20231,20296,Team B Bulgarian Diary (2009),Found 4 units in section
2009-03-11,B,20297,20344,Team B Bulgarian Diary (2009),Found 21 units in section
2009-03-12,A,10221,10276,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-12,B,20345,20461,Team B Bulgarian Diary (2009),Found 6 units in section
2009-03-15,A,10277,10316,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-16,A,10317,10369,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-16,B,20461,20536,Team B Bulgarian Diary (2009),Found 6 units in section
2009-03-16,D,40064,40067,Team D Bulgarian Diary (2009),Found 4 units in section
2009-03-19,B,20537,20615,Team B Bulgarian Diary (2009),Found 7 units in section
2009-03-19,D,40048,40073,Team D Bulgarian Diary (2009),Found 2 units in section
2009-03-19,D,40083,40083,Team D Bulgarian Diary (2009),Found 1 units in section
2009-03-20,B,20615,20638,Team B Bulgarian Diary (2009),Found 10 units in section
2009-03-20,D,40075,40082,Team D Bulgarian Diary (2009),Found 4 units in section
2009-03-20,E,50011,50059,Team E Bulgarian Diary (2009),Found 5 units in section
2009-03-23,A,10410,10503,Team A Bulgarian Diary (2009),Found 4 units in section
2009-03-23,B,20639,20673,Team B Bulgarian Diary (2009),Found 3 units in section
2009-03-23,E,50071,50142,Team E Bulgarian Diary (2009),Found 6 units in section
2009-03-24,A,10504,10563,Team A Bulgarian Diary (2009),Found 3 units in section
2009-03-24,B,20674,20722,Team B Bulgarian Diary (2009),Found 11 units in section
2009-03-24,E,50157,50202,Team E Bulgarian Diary (2009),Found 5 units in section
2009-03-25,A,10564,10610,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-25,B,20709,20732,Team B Bulgarian Diary (2009),Found 13 units in section
2009-03-25,E,50203,50249,Team E Bulgarian Diary (2009),Found 12 units in section
2009-03-26,A,10611,10667,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-26,B,20729,20783,Team B Bulgarian Diary (2009),Found 9 units in section
2009-03-26,E,50247,50289,Team E Bulgarian Diary (2009),Found 3 units in section
2009-03-27,A,10668,10742,Team A Bulgarian Diary (2009),Found 5 units in section
